"NAME","S1903_C01_001E"
"Geographic Area Name","Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Lincoln CCD, Placer County, California","28574"
"Rocklin CCD, Placer County, California","32683"
"Roseville CCD, Placer County, California","46382"
"Chester CCD, Plumas County, California","1776"
"Feather River Canyon CCD, Plumas County, California","33"
"Graeagle CCD, Plumas County, California","671"
"Greenville CCD, Plumas County, California","1133"
"Portola CCD, Plumas County, California","1753"
"Quincy CCD, Plumas County, California","2681"
"Blythe CCD, Riverside County, California","5441"
"Cathedral City-Palm Desert CCD, Riverside County, California","63726"
"Chuckwalla Valley CCD, Riverside County, California","685"
"Coachella Valley CCD, Riverside County, California","66801"
"Corona CCD, Riverside County, California","55755"
"Desert Hot Springs CCD, Riverside County, California","18698"
"Elsinore Valley CCD, Riverside County, California","34961"
"Hemet-San Jacinto CCD, Riverside County, California","53231"
"Idyllwild CCD, Riverside County, California","4509"
"Jurupa CCD, Riverside County, California","39603"
"Lake Mathews CCD, Riverside County, California","7122"
"Murrieta CCD, Riverside County, California","93718"
"Norco CCD, Riverside County, California","6785"
"Palm Springs CCD, Riverside County, California","23202"
"Perris Valley CCD, Riverside County, California","80325"
"Riverside CCD, Riverside County, California","130956"
"San Gorgonio Pass CCD, Riverside County, California","32831"
"Elk Grove CCD, Sacramento County, California","35362"
"Folsom CCD, Sacramento County, California","27251"
"Galt CCD, Sacramento County, California","12396"
"Isleton CCD, Sacramento County, California","1746"
"Rancho Cordova CCD, Sacramento County, California","42669"
"Sacramento CCD, Sacramento County, California","413820"
"Sloughhouse CCD, Sacramento County, California","2785"
"Hollister CCD, San Benito County, California","15356"
"San Benito-Bitterwater CCD, San Benito County, California","305"
"San Juan Bautista CCD, San Benito County, California","2079"
"Barstow CCD, San Bernardino County, California","14913"
"Big Bear CCD, San Bernardino County, California","10708"
"Lake Arrowhead CCD, San Bernardino County, California","7952"
